"Name","ResourceType","ResourceGroupName","Location","SubscriptionId","Sku","Kind","Tags","ResourceId"
"vm-amig-win-001_OsDisk_1_e77733f43d73447c939ab324885f5576","Microsoft.Compute/disks","RG-MIGRATE-DEMO-JE-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS",,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-MIGRATE-DEMO-JE-001/providers/Microsoft.Compute/disks/vm-amig-win-001_OsDisk_1_e77733f43d73447c939ab324885f5576"
"vm-amig-ubu-001_OsDisk_1_0c28a750701d4b0c8946f4c29b24cf06","Microsoft.Compute/disks","RG-MIGRATE-DEMO-JE-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS",,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-MIGRATE-DEMO-JE-001/providers/Microsoft.Compute/disks/vm-amig-ubu-001_OsDisk_1_0c28a750701d4b0c8946f4c29b24cf06"
"vm-amig-appl-001_OsDisk_1_3fd7cd07011d42d5aeadf6e73f59f7db","Microsoft.Compute/disks","RG-MIGRATE-DEMO-JE-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS",,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-MIGRATE-DEMO-JE-001/providers/Microsoft.Compute/disks/vm-amig-appl-001_OsDisk_1_3fd7cd07011d42d5aeadf6e73f59f7db"
"stamiguctnhzjq4unu2","Microsoft.Storage/storageAccounts","rg-migrate-demo-je-001","centralus","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS","StorageV2","","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Storage/storageAccounts/stamiguctnhzjq4unu2"
"amig-demo-project","Microsoft.Migrate/migrateprojects","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"Migrate Project=amig-demo-project","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Migrate/migrateprojects/amig-demo-project"
"vm-amig-appl-001/MDE.Windows","Microsoft.Compute/virtualMachines/extensions","RG-MIGRATE-DEMO-JE-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-MIGRATE-DEMO-JE-001/providers/Microsoft.Compute/virtualMachines/vm-amig-appl-001/extensions/MDE.Windows"
"vm-amig-ubu-001/MDE.Linux","Microsoft.Compute/virtualMachines/extensions","RG-MIGRATE-DEMO-JE-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-MIGRATE-DEMO-JE-001/providers/Microsoft.Compute/virtualMachines/vm-amig-ubu-001/extensions/MDE.Linux"
"vm-amig-win-001/MDE.Windows","Microsoft.Compute/virtualMachines/extensions","RG-MIGRATE-DEMO-JE-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-MIGRATE-DEMO-JE-001/providers/Microsoft.Compute/virtualMachines/vm-amig-win-001/extensions/MDE.Windows"
"stamiguctnhzjq4unu2-050514de-a7f0-4a36-ae99-21f6f9f8e74e","Microsoft.EventGrid/systemTopics","rg-migrate-demo-je-001","centralus","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.EventGrid/systemTopics/stamiguctnhzjq4unu2-050514de-a7f0-4a36-ae99-21f6f9f8e74e"
"test02a4cbproject","Microsoft.Migrate/assessmentProjects","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,"Migrate","","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/Microsoft.Migrate/assessmentProjects/test02a4cbproject"
"test028681rvToolsSite","microsoft.offazure/ImportSites","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/microsoft.offazure/ImportSites/test028681rvToolsSite"
"test028545masterSite","microsoft.offazure/MasterSites","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,"Migrate","Migrate Project=test02","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/microsoft.offazure/MasterSites/test028545masterSite"
"amigdemoprojectc059rvToolsSite","microsoft.offazure/ImportSites","rg-migrate-demo-je-001","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-migrate-demo-je-001/providers/microsoft.offazure/ImportSites/amigdemoprojectc059rvToolsSite"
